workclass,education,education-years,marital,occupation,relationship,race,sex,hours-per-week,natice-country,income
 Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,60, United-States, <=50K
 Private, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,50, United-States, <=50K
 Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,40, United-States, <=50K
 Self-emp-inc, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,40, England, <=50K
 Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Private, Some-college,10, Divorced, Other-service, Unmarried, White, Female,40, Mexico, <=50K
 Federal-gov, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,42, United-States, <=50K
 State-gov, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,40, United-States, <=50K
 Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,16, United-States, <=50K
 Local-gov, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,20, United-States, <=50K
 Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,40, United-States, <=50K
 State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Private, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,50, United-States, <=50K
 State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,25, United-States, <=50K
 Private, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,12, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,65, United-States, <=50K
 Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,38, United-States, >50K
 Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,45, United-States, <=50K
 Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Mexico, >50K
 Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,42, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,40, United-States, <=50K
 Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
 Private, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,50, United-States, <=50K
 State-gov, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,1, United-States, >50K
 Private, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,28, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Local-gov, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,45, United-States, <=50K
 Federal-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,24, United-States, <=50K
 Private, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,40, Mexico, <=50K
 Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Federal-gov, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,55, United-States, >50K
 Private, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,40, United-States, >50K
 Self-emp-not-inc, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K
 Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K
 Local-gov, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
 State-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,35, United-States, <=50K
 Private, 11th,7, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,36, United-States, >50K
 Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,60, United-States, <=50K
 Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,35, United-States, >50K
 Private, 11th,7, Never-married, Sales, Own-child, White, Female,12, United-States, <=50K
 Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 Private, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States, <=50K
 Self-emp-inc, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, >50K
 Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,60, United-States, >50K
 Private, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50, Poland, <=50K
 Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,55, United-States, <=50K
 Private, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,20, United-States, <=50K
 Local-gov, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,35, United-States, <=50K
 Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,50, United-States, <=50K
 Private, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female,20, Columbia, <=50K
 Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male,40, United-States, <=50K
 Private, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,38, United-States, <=50K
 Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,42, United-States, <=50K
 Private, Some-college,10, Divorced, Craft-repair, Other-relative, Other, Female,40, United-States, <=50K
 Private, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,55, United-States, >50K
 State-gov, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, <=50K
 State-gov, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,38, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, Iran, >50K
 Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,70, United-States, >50K
 Private, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,20, United-States, <=50K
 State-gov, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,50, United-States, <=50K
 Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,45, United-States, >50K
 Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,34, United-States, <=50K
 Private, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,60, United-States, >50K
 Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,40, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female,40, United-States, <=50K
 Local-gov, 10th,6, Widowed, Other-service, Unmarried, Black, Female,30, United-States, <=50K
 Local-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,40, United-States, <=50K
 Private, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,20, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,40, Cambodia, >50K
 Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,40, United-States, <=50K
 Private, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,30, United-States, <=50K
 Private, Assoc-voc,11, Widowed, Exec-managerial, Not-in-family, White, Female,45, United-States, <=50K
 Private, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Divorced, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, <=50K
 Private, 11th,7, Never-married, Other-service, Own-child, White, Male,12, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,75, Thailand, >50K
 Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,45, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,40, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Private, 9th,5, Never-married, Other-service, Own-child, White, Male,24, United-States, <=50K
 Self-emp-not-inc, Masters,14, Married-civ-spouse, Farming-fishing, Husband, White, Male,98, United-States, <=50K
 Local-gov, Masters,14, Never-married, Prof-specialty, Own-child, White, Male,35, United-States, <=50K
 Private, HS-grad,9, Divorced, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
 Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,48, United-States, >50K
 Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,15, Germany, <=50K
 Local-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 Private, Assoc-acdm,12, Divorced, Sales, Unmarried, Black, Female,45, United-States, <=50K
 Private, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,42, United-States, <=50K
 Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
 Federal-gov, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K
 Private, Some-college,10, Divorced, Other-service, Not-in-family, White, Male,45, United-States, <=50K
 Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
 Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,40, Ecuador, <=50K
 Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States, <=50K
 Private, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
 Local-gov, Bachelors,13, Never-married, Protective-serv, Not-in-family, White, Male,56, United-States, <=50K
 Private, Some-college,10, Never-married, Sales, Own-child, White, Male,45, United-States, <=50K
 Private, Bachelors,13, Never-married, Tech-support, Unmarried, Black, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,16, United-States, <=50K
 Self-emp-inc, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,60, United-States, <=50K
 Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,80, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K
 Private, Some-college,10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,25, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,45, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,40, Laos, <=50K
